Entity,Code,Year,"Health expenditure, public (% of GDP) (% of GDP)","Health expenditure, private (% of GDP) (% of GDP)"
Azerbaijan,AZE,2007,0.980253879,4.114999051
Azerbaijan,AZE,2008,0.824675486,3.549390984
Azerbaijan,AZE,2009,1.33896972,4.51127076
Azerbaijan,AZE,2010,1.168020723,4.165579377
Azerbaijan,AZE,2011,1.080987674,3.928337356
Azerbaijan,AZE,2012,1.210596594,4.156301026
Azerbaijan,AZE,2013,1.150183905,4.387366545
Azerbaijan,AZE,2014,1.230967479,4.805895721
Bahamas,BHS,1995,2.729658793,4.120734907
Bahamas,BHS,1996,2.773621504,4.142421726
Bahamas,BHS,1997,2.357290763,3.192828067
Bahamas,BHS,1998,2.539504821,3.046591369
Bahamas,BHS,1999,2.467818788,2.762471322
Bahamas,BHS,2000,2.502547587,2.705627703
Bahamas,BHS,2001,2.466895954,2.679290326
Bahamas,BHS,2002,2.510665428,2.745018682
Bahamas,BHS,2003,2.647886116,2.970115984
Bahamas,BHS,2004,2.880435634,3.144098886
Bahamas,BHS,2005,2.642189647,3.311975373
Bahamas,BHS,2006,3.2726021,3.65991578
Bahamas,BHS,2007,3.18150171,3.89409097
Bahamas,BHS,2008,3.354877435,3.948096865
Bahamas,BHS,2009,3.526524149,3.905395951
Bahamas,BHS,2010,3.460815504,3.975768726
Bahamas,BHS,2011,3.575056242,4.058661138
Bahamas,BHS,2012,3.298249273,4.131854737
Bahamas,BHS,2013,3.07695572,3.96859281
Bahamas,BHS,2014,3.550672696,4.191692194
Bahrain,BHR,1995,2.818546496,1.294326424
Bahrain,BHR,1996,2.751513204,1.285955366
Bahrain,BHR,1997,3.047721744,1.300259626
Bahrain,BHR,1998,2.881320773,1.434933067
Bahrain,BHR,1999,2.838727708,1.350181632
Bahrain,BHR,2000,2.36241776,1.14654807
Bahrain,BHR,2001,2.532878513,1.262440697
Bahrain,BHR,2002,2.584323203,1.309816157
Bahrain,BHR,2003,2.501123649,1.238605311
Bahrain,BHR,2004,2.267809586,1.098198184
Bahrain,BHR,2005,2.156522233,1.001527647
Bahrain,BHR,2006,2.125250656,0.951504434
Bahrain,BHR,2007,2.184567246,0.893107534
Bahrain,BHR,2008,2.313058037,0.855428473
Bahrain,BHR,2009,2.748444379,1.038059621
Bahrain,BHR,2010,2.593379391,1.044270199
Bahrain,BHR,2011,2.383532755,1.018420615
Bahrain,BHR,2012,2.762662242,1.603249398
Bahrain,BHR,2013,3.015994395,1.670384985
Bahrain,BHR,2014,3.150500297,1.830296083
Bangladesh,BGD,1995,1.199805247,2.021771373
Bangladesh,BGD,1996,1.031284124,1.932452056
Bangladesh,BGD,1997,0.968124768,1.282161152
Bangladesh,BGD,1998,0.935335098,1.316485842
Bangladesh,BGD,1999,0.935160149,1.358019931
Bangladesh,BGD,2000,0.946712407,1.380083083
Bangladesh,BGD,2001,1.024926461,1.445024149
Bangladesh,BGD,2002,1.067809827,1.525077603
Bangladesh,BGD,2003,0.975548071,1.534490389
Bangladesh,BGD,2004,1.042067184,1.573418836
Bangladesh,BGD,2005,0.966800142,1.710450248
Bangladesh,BGD,2006,1.038830186,1.757400034
Bangladesh,BGD,2007,0.987683698,1.811272362
Bangladesh,BGD,2008,0.953752469,1.892781441
Bangladesh,BGD,2009,0.991099631,1.918484049
Bangladesh,BGD,2010,1.05017299,2.01338694
Bangladesh,BGD,2011,1.041090103,2.114783897
Bangladesh,BGD,2012,0.984483722,2.096724348
Bangladesh,BGD,2013,0.810323956,2.072533304
Bangladesh,BGD,2014,0.786532509,2.032466051
Barbados,BRB,1995,3.541707878,1.670513242
Barbados,BRB,1996,3.461739847,1.603793033
Barbados,BRB,1997,3.329952803,1.776728947
Barbados,BRB,1998,3.189417786,1.688172414
Barbados,BRB,1999,3.277842886,1.733216684
Barbados,BRB,2000,3.392050008,1.763103062
Barbados,BRB,2001,3.696644017,1.775185953
Barbados,BRB,2002,3.962990388,1.798901722
Barbados,BRB,2003,3.843278107,1.971753483
Barbados,BRB,2004,3.718071476,1.994472464
Barbados,BRB,2005,3.463278997,1.914428883
Barbados,BRB,2006,3.415845805,1.858952015
Barbados,BRB,2007,3.758300912,1.880774308
Barbados,BRB,2008,4.056312343,1.958650707
Barbados,BRB,2009,4.144961775,2.069006365
Barbados,BRB,2010,4.009928747,2.159062623
Barbados,BRB,2011,4.155989917,2.513763863
Barbados,BRB,2012,4.841513416,2.587738614
Barbados,BRB,2013,4.899894263,2.668836437
Barbados,BRB,2014,4.744632219,2.724670781
Belarus,BLR,1995,4.793950729,1.946302811
Belarus,BLR,1996,4.696646664,1.538977996
Belarus,BLR,1997,5.427282394,1.165242756
Belarus,BLR,1998,4.588919064,1.367738676
Belarus,BLR,1999,4.715802069,1.447581191
Belarus,BLR,2000,4.626454599,1.502393851
Belarus,BLR,2001,4.739935352,1.884810568
Belarus,BLR,2002,4.560548727,1.909575483
Belarus,BLR,2003,4.865755487,1.723524843
Belarus,BLR,2004,4.922950998,1.663838342
Belarus,BLR,2005,5.022738287,1.863607493
Belarus,BLR,2006,4.450400123,1.886397917
Belarus,BLR,2007,4.451424325,1.986302705
Belarus,BLR,2008,3.871576451,2.077613499
Belarus,BLR,2009,3.895442402,2.189598728
Belarus,BLR,2010,4.314805544,1.239398546
Belarus,BLR,2011,3.472557647,1.451101393
Belarus,BLR,2012,3.8657579,1.14246573
Belarus,BLR,2013,4.022291167,2.049774393
Belarus,BLR,2014,3.741755251,1.945966329
Belgium,BEL,1995,5.845320714,1.766004416
Belgium,BEL,1996,6.184037715,1.726239405
Belgium,BEL,1997,5.853458123,1.912024307
Belgium,BEL,1998,5.899438234,1.987060196
Belgium,BEL,1999,6.023602106,2.053358004
Belgium,BEL,2000,6.058374214,2.062223066
Belgium,BEL,2001,6.252814629,2.039237421
Belgium,BEL,2002,6.24450897,2.21725858
Belgium,BEL,2003,6.918096551,2.385501399
Belgium,BEL,2004,7.127857093,2.193169897
Belgium,BEL,2005,7.112748229,2.131539341
Belgium,BEL,2006,6.962370454,2.208757516
Belgium,BEL,2007,6.952936769,2.299137651
Belgium,BEL,2008,7.396754446,2.201672004
Belgium,BEL,2009,8.043822364,2.350517776
Belgium,BEL,2010,7.896702726,2.268937944
Belgium,BEL,2011,8.006737375,2.416758255
Belgium,BEL,2012,8.186298971,2.353451039
Belgium,BEL,2013,8.226719108,2.346183902
Belgium,BEL,2014,8.249989469,2.344761431
Belize,BLZ,1995,2.632365197,1.613663793
Belize,BLZ,1996,2.048040973,1.583229197
Belize,BLZ,1997,2.263610979,1.656540841
Belize,BLZ,1998,2.155696602,1.640451418
Belize,BLZ,1999,2.035489918,1.631444892
Belize,BLZ,2000,2.091697325,1.884455985
Belize,BLZ,2001,2.589422551,1.913020129
Belize,BLZ,2002,2.456541789,1.922728631
Belize,BLZ,2003,2.589394307,1.945428593
Belize,BLZ,2004,2.507171752,1.886750938
Belize,BLZ,2005,2.647951095,1.804762085
Belize,BLZ,2006,2.669250969,1.731492221
Belize,BLZ,2007,3.022312925,1.738270645
Belize,BLZ,2008,3.290674586,1.802143804
Belize,BLZ,2009,3.862427163,1.945217617
Belize,BLZ,2010,3.858381866,1.987466194
Belize,BLZ,2011,3.725604295,1.879616325
Belize,BLZ,2012,3.577743436,1.875316934
Belize,BLZ,2013,3.777130746,2.013488904
Belize,BLZ,2014,3.879657845,1.909292195
Benin,BEN,1995,2.111729724,2.580952436
Benin,BEN,1996,2.031550924,2.554945846
Benin,BEN,1997,1.814422789,2.497375241
Benin,BEN,1998,1.939795897,2.445913913
Benin,BEN,1999,2.109912315,2.476933065
Benin,BEN,2000,1.917526784,2.421203926
Benin,BEN,2001,2.308263635,2.378463975
Benin,BEN,2002,1.888670405,2.385761445
Benin,BEN,2003,2.211266526,2.419394884
Benin,BEN,2004,2.175232784,2.386621896
Benin,BEN,2005,2.352479891,2.381368579
Benin,BEN,2006,2.385750932,2.364715148
Benin,BEN,2007,2.307085606,2.238754204
Benin,BEN,2008,2.137696725,2.057943315
Benin,BEN,2009,2.328624079,2.135685761
Benin,BEN,2010,2.688570362,2.259670028
Benin,BEN,2011,2.929009758,2.439742792
Benin,BEN,2012,2.15409384,2.70277218
Benin,BEN,2013,2.215456479,2.376597291
Benin,BEN,2014,2.251196286,2.343100224
Bhutan,BTN,1995,2.655671226,1.321660484
Bhutan,BTN,1996,4.92248937,1.38901156
Bhutan,BTN,1997,5.589715842,1.761079858
Bhutan,BTN,1998,5.420760961,1.815511999
Bhutan,BTN,1999,5.060485995,1.878982775
Bhutan,BTN,2000,5.325051654,1.587265066
Bhutan,BTN,2001,4.849893798,1.063556212
Bhutan,BTN,2002,6.60698513,1.14461994
Bhutan,BTN,2003,3.749019455,1.155085945
Bhutan,BTN,2004,3.193554605,1.213947525
Bhutan,BTN,2005,4.166375755,1.114546995
Bhutan,BTN,2006,4.29057998,0.97810825
Bhutan,BTN,2007,5.118893938,0.759766712
Bhutan,BTN,2008,5.562408666,1.017415674
Bhutan,BTN,2009,4.891295472,1.136546708
Bhutan,BTN,2010,4.544794957,0.626966633
Bhutan,BTN,2011,4.142893462,0.588564248
Bhutan,BTN,2012,2.700860931,1.002984799
Bhutan,BTN,2013,2.804824773,1.020970387
Bhutan,BTN,2014,2.615039654,0.957975156
Bolivia,BOL,1995,2.112215194,1.617170216
Bolivia,BOL,1996,2.978225519,1.649984321
Bolivia,BOL,1997,2.66726091,1.50231429
Bolivia,BOL,1998,3.122442061,1.977571449
Bolivia,BOL,1999,3.602860899,2.593644531
Bolivia,BOL,2000,3.245343618,2.424487892
Bolivia,BOL,2001,3.744167609,2.567376101
Bolivia,BOL,2002,4.101807461,2.427564329
Bolivia,BOL,2003,3.496278922,1.807831828
Bolivia,BOL,2004,3.492276415,1.723339095
Bolivia,BOL,2005,3.860740789,1.805522531
Bolivia,BOL,2006,3.521340785,1.673494555
Bolivia,BOL,2007,3.408827783,1.554816457
Bolivia,BOL,2008,3.406843244,1.595374926
Bolivia,BOL,2009,3.948226271,1.813509989
Bolivia,BOL,2010,3.662996725,1.780017125
Bolivia,BOL,2011,3.752141694,1.739621576
Bolivia,BOL,2012,3.772366172,1.784624928
Bolivia,BOL,2013,4.238349186,1.726637414
Bolivia,BOL,2014,4.565377537,1.769449753
Bosnia and Herzegovina,BIH,1995,3.350453159,5.679347521
Bosnia and Herzegovina,BIH,1996,4.802890013,5.418682807
Bosnia and Herzegovina,BIH,1997,3.499925576,4.629403244
Bosnia and Herzegovina,BIH,1998,3.329547245,4.819431815
Bosnia and Herzegovina,BIH,1999,4.730752629,4.178971931
Bosnia and Herzegovina,BIH,2000,4.032095716,3.056178204
Bosnia and Herzegovina,BIH,2001,4.312505733,2.847711937
Bosnia and Herzegovina,BIH,2002,4.422546498,2.587932512
Bosnia and Herzegovina,BIH,2003,5.478547872,2.462280928
Bosnia and Herzegovina,BIH,2004,5.173272164,3.870561136
Bosnia and Herzegovina,BIH,2005,4.865928659,3.630223161
Bosnia and Herzegovina,BIH,2006,4.979969839,3.303404481
Bosnia and Herzegovina,BIH,2007,5.334221943,3.035854137
Bosnia and Herzegovina,BIH,2008,5.812860562,2.769042728
Bosnia and Herzegovina,BIH,2009,6.803551255,2.836965295
Bosnia and Herzegovina,BIH,2010,6.788921332,2.789394778
Bosnia and Herzegovina,BIH,2011,6.923006484,2.789011826
Bosnia and Herzegovina,BIH,2012,7.080212274,2.859542626
Bosnia and Herzegovina,BIH,2013,6.629772276,2.834539334
Bosnia and Herzegovina,BIH,2014,6.813077082,2.758938888
Botswana,BWA,1995,2.126873521,1.949383989
Botswana,BWA,1996,2.123124439,1.914780631
Botswana,BWA,1997,2.429731822,1.865589228
Botswana,BWA,1998,2.179257676,1.677093804
Botswana,BWA,1999,2.163569841,1.580345879
Botswana,BWA,2000,2.899852421,1.743930109
Botswana,BWA,2001,4.146457238,1.582872202
Botswana,BWA,2002,4.894689856,1.578880754
Botswana,BWA,2003,2.969796404,1.678064746
Botswana,BWA,2004,3.888095917,1.670632043
Botswana,BWA,2005,4.090479196,1.533232674
Botswana,BWA,2006,3.479114149,1.450421701
Botswana,BWA,2007,3.315711881,1.397353379
Botswana,BWA,2008,3.928321929,1.622049111
Botswana,BWA,2009,4.494537231,1.893633499
Botswana,BWA,2010,3.544461785,2.098190385
Botswana,BWA,2011,3.236016942,2.013150688
Botswana,BWA,2012,3.955382211,2.316806359
Botswana,BWA,2013,3.50694528,2.33112256
Botswana,BWA,2014,3.193884455,2.218118165
Brazil,BRA,1995,2.800558403,3.710202017
Brazil,BRA,1996,2.700450075,4.006495255
Brazil,BRA,1997,2.874414942,3.818040238
Brazil,BRA,1998,2.796990013,3.762680357
Brazil,BRA,1999,2.952575034,3.957329506
Brazil,BRA,2000,2.832471845,4.195273195
Brazil,BRA,2001,3.040958916,4.149678004
Brazil,BRA,2002,3.182992293,3.947067527
Brazil,BRA,2003,3.080328175,3.862635745
Brazil,BRA,2004,3.323675591,3.744259599
Brazil,BRA,2005,3.43190885,4.83511808
Brazil,BRA,2006,3.492652092,4.863055138
Brazil,BRA,2007,3.455148229,4.825441651
Brazil,BRA,2008,3.61158219,4.62640747
Brazil,BRA,2009,3.841355649,4.807741421
Brazil,BRA,2010,3.786139623,4.481229587
Brazil,BRA,2011,3.654001986,4.436169714
Brazil,BRA,2012,3.66135204,4.59954658
Brazil,BRA,2013,3.827307012,4.655817498
Brazil,BRA,2014,3.831759885,4.491073705
Brunei,BRN,1995,2.294038745,0.670982115
Brunei,BRN,1996,3.016497992,0.707346458
Brunei,BRN,1997,3.01723691,0.71849663
Brunei,BRN,1998,3.717910886,0.737282384
Brunei,BRN,1999,3.183940482,0.631977938
Brunei,BRN,2000,2.59858883,0.45533443
Brunei,BRN,2001,2.576781266,0.482377004
Brunei,BRN,2002,2.567385408,0.468858822
Brunei,BRN,2003,2.593538693,0.497218137
Brunei,BRN,2004,2.522266585,0.483433695
Brunei,BRN,2005,2.215897148,0.408793042
Brunei,BRN,2006,1.929077942,0.314373998
Brunei,BRN,2007,2.03867096,0.27906062
Brunei,BRN,2008,2.015774515,0.213671145
Brunei,BRN,2009,2.591951691,0.256765219
Brunei,BRN,2010,2.520024437,0.213192153
Brunei,BRN,2011,2.066757971,0.179171219
Brunei,BRN,2012,2.112532457,0.188177693
Brunei,BRN,2013,2.407480899,0.205018821
Brunei,BRN,2014,2.485567877,0.162595013
Bulgaria,BGR,1995,3.515523463,1.237751417
Bulgaria,BGR,1996,3.182541008,1.390047262
Bulgaria,BGR,1997,3.397999988,1.343607772
Bulgaria,BGR,1998,3.262490099,1.40547592
Bulgaria,BGR,1999,3.883886627,1.971782143
Bulgaria,BGR,2000,3.698274196,2.371280994
Bulgaria,BGR,2001,4.224389281,3.010077199
Bulgaria,BGR,2002,4.536791795,2.869301125
Bulgaria,BGR,2003,4.617962963,2.816791407
Bulgaria,BGR,2004,4.30515357,2.78080172
Bulgaria,BGR,2005,4.312971455,2.766807335
Bulgaria,BGR,2006,3.800812847,2.872662453
Bulgaria,BGR,2007,3.730705859,2.679638331
Bulgaria,BGR,2008,3.870316356,2.741929658
Bulgaria,BGR,2009,3.75184985,3.02634404
Bulgaria,BGR,2010,4.0342301,3.21033043
Bulgaria,BGR,2011,3.759655846,3.123321494
Bulgaria,BGR,2012,3.999818502,3.105879278
Bulgaria,BGR,2013,4.122861742,3.807357478
Bulgaria,BGR,2014,4.60763146,3.8352818
Burkina Faso,BFA,1995,1.865861958,3.041884202
Burkina Faso,BFA,1996,1.933787219,3.201396051
Burkina Faso,BFA,1997,2.067886968,3.060532962
Burkina Faso,BFA,1998,2.061326682,3.198989828
Burkina Faso,BFA,1999,2.191443603,3.076419407
Burkina Faso,BFA,2000,2.016915355,3.042183705
Burkina Faso,BFA,2001,1.832448876,3.019588634
Burkina Faso,BFA,2002,2.256686535,3.004706895
Burkina Faso,BFA,2003,2.604252993,3.005535697
Burkina Faso,BFA,2004,3.464384444,2.988898936
Burkina Faso,BFA,2005,4.091775992,2.780609868
Burkina Faso,BFA,2006,3.741064955,2.837834305
Burkina Faso,BFA,2007,3.995721739,2.633667831
Burkina Faso,BFA,2008,3.996973964,2.771585996
Burkina Faso,BFA,2009,3.658379326,3.747051644
Burkina Faso,BFA,2010,3.971179767,3.198870393
Burkina Faso,BFA,2011,2.95514785,2.21430887
Burkina Faso,BFA,2012,2.98036859,2.34651675
Burkina Faso,BFA,2013,3.48939536,2.42300677
Burkina Faso,BFA,2014,2.593973739,2.366289491
Burundi,BDI,1995,1.34643228,3.02804992
Burundi,BDI,1996,1.494103417,3.002935673
Burundi,BDI,1997,1.130843622,2.982783328
Burundi,BDI,1998,1.247842204,3.252859016
Burundi,BDI,1999,1.238485735,3.152932905
Burundi,BDI,2000,1.404364464,3.574026146
Burundi,BDI,2001,1.634485911,3.326188159
Burundi,BDI,2002,1.55512254,3.59855334
Burundi,BDI,2003,1.345188237,3.903218823
Burundi,BDI,2004,2.544952098,4.557105442
Burundi,BDI,2005,2.937796431,6.899970959
Burundi,BDI,2006,3.528829336,7.961303184
Burundi,BDI,2007,3.7804362,6.24633123
Burundi,BDI,2008,3.355311709,4.504151861
Burundi,BDI,2009,3.093040181,3.871147089
Burundi,BDI,2010,5.499656744,3.321011896
Burundi,BDI,2011,5.401877297,3.176137423
Burundi,BDI,2012,4.930865336,3.276688414
Burundi,BDI,2013,4.396653053,3.634960727
Burundi,BDI,2014,3.973727557,3.561837833
Cambodia,KHM,1995,1.123903304,4.263175716
Cambodia,KHM,1996,2.642772374,4.783764636
Cambodia,KHM,1997,2.055718532,4.404406888
Cambodia,KHM,1998,1.356775567,4.666115483
Cambodia,KHM,1999,1.184934454,4.414837776
