Entity,Year,Code,Male (males suffering from depression),Female (females suffering from depression),Male Population,Female Population,Percentage of Male Suffering from Depression,Percentage of Female Suffering from Depression
Andean Latin America,2012,NA,565776.4103,864219.85,NA,NA,NA,NA
Andean Latin America,2013,NA,578443.6803,882118.0024,NA,NA,NA,NA
Andean Latin America,2014,NA,591744.3755,898843.6104,NA,NA,NA,NA
Andean Latin America,2015,NA,603788.1324,916822.1088,NA,NA,NA,NA
Andean Latin America,2016,NA,617430.3158,935216.2433,NA,NA,NA,NA
Andorra,1990,AND,742.4451918,1367.254939,27254.5,27254.5,2.72%,5.02%
Andorra,1991,AND,796.827013,1460.716265,28335.5,28335.5,2.81%,5.16%
Andorra,1992,AND,844.2965269,1546.568374,29444,29444,2.87%,5.25%
Andorra,1993,AND,885.2090956,1621.321375,30485.5,30485.5,2.90%,5.32%
Andorra,1994,AND,903.9702128,1655.526868,31338.5,31338.5,2.88%,5.28%
Andorra,1995,AND,898.1632293,1642.422585,31925,31925,2.81%,5.14%
Andorra,1996,AND,902.265001,1645.299807,32180,32180,2.80%,5.11%
Andorra,1997,AND,910.9803957,1663.970985,32163.5,32163.5,2.83%,5.17%
Andorra,1998,AND,924.2978635,1683.664258,32071,32071,2.88%,5.25%
Andorra,1999,AND,929.4561778,1694.72029,32185,32185,2.89%,5.27%
Andorra,2000,AND,931.1847249,1693.011114,32695,32695,2.85%,5.18%
Andorra,2001,AND,932.838144,1696.04496,33670.5,33670.5,2.77%,5.04%
Andorra,2002,AND,942.572668,1710.242337,35024.5,35024.5,2.69%,4.88%
Andorra,2003,AND,983.1178866,1780.666674,36591,36591,2.69%,4.87%
Andorra,2004,AND,1048.004257,1890.10684,38122,38122,2.75%,4.96%
Andorra,2005,AND,1088.185741,1960.879534,39433.5,39433.5,2.76%,4.97%
Andorra,2006,AND,1118.831485,2012.440365,40495.5,40495.5,2.76%,4.97%
Andorra,2007,AND,1152.855744,2070.343426,41341.5,41341.5,2.79%,5.01%
Andorra,2008,AND,1178.764049,2112.296091,41930.5,41930.5,2.81%,5.04%
Andorra,2009,AND,1196.010697,2140.112732,42231,42231,2.83%,5.07%
Andorra,2010,AND,1204.09795,2150.638646,42224.5,42224.5,2.85%,5.09%
Andorra,2011,AND,1207.746602,2159.11393,41875.5,41875.5,2.88%,5.16%
Andorra,2012,AND,1211.97463,2163.947402,41215.5,41215.5,2.94%,5.25%
Andorra,2013,AND,1216.037754,2167.419448,40394,40394,3.01%,5.37%
Andorra,2014,AND,1216.207142,2169.843311,39611.5,39611.5,3.07%,5.48%
Andorra,2015,AND,1218.438866,2174.995491,39007,39007,3.12%,5.58%
Andorra,2016,AND,1221.990288,2181.592209,38640.5,38640.5,3.16%,5.65%
Angola,1990,AGO,159982.9436,202009.9378,5951051,6220386,2.69%,3.25%
Angola,1991,AGO,164512.7749,207635.7154,6137180,6416266,2.68%,3.24%
Angola,1992,AGO,169789.1862,215170.6446,6339071,6629272,2.68%,3.25%
Angola,1993,AGO,175759.7821,222896.1691,6550823,6852907,2.68%,3.25%
Angola,1994,AGO,181686.6667,230856.9027,6763716,7077583,2.69%,3.26%
Angola,1995,AGO,188112.9723,239324.8157,6972030,7296960,2.70%,3.28%
Angola,1996,AGO,192600.0928,245432.9007,7173636,7508647,2.68%,3.27%
Angola,1997,AGO,197183.3311,251886.3698,7372301,7716675,2.67%,3.26%
Angola,1998,AGO,202470.3323,258722.0502,7575413,7928907,2.67%,3.26%
Angola,1999,AGO,208063.6712,266271.2368,7793314,8156455,2.67%,3.26%
Angola,2000,AGO,214293.198,274824.8879,8033544,8407377,2.67%,3.27%
Angola,2001,AGO,219822.4439,282617.1736,8298798,8684469,2.65%,3.25%
Angola,2002,AGO,226364.4346,290742.9819,8587105,8985543,2.64%,3.24%
Angola,2003,AGO,233466.7064,300545.6238,8895760,9307609,2.62%,3.23%
Angola,2004,AGO,241324.4348,311573.991,9220112,9645611,2.62%,3.23%
Angola,2005,AGO,249240.5401,321541.6561,9556744,9995794,2.61%,3.22%
Angola,2006,AGO,256535.5027,331570.385,9904947,10357454,2.59%,3.20%
Angola,2007,AGO,264369.227,342162.578,10265906,10731773,2.58%,3.19%
Angola,2008,AGO,271485.927,353445.8423,10640264,11119160,2.55%,3.18%
Angola,2009,AGO,281126.8135,364946.4624,11029117,11520424,2.55%,3.17%
Angola,2010,AGO,290341.4831,377929.8616,11433112,11936012,2.54%,3.17%
Angola,2011,AGO,299811.6222,388685.609,11852501,12366070,2.53%,3.14%
Angola,2012,AGO,309768.3406,402074.9785,12286368,12809783,2.52%,3.14%
Angola,2013,AGO,320513.2563,416591.5986,12732764,13265578,2.52%,3.14%
Angola,2014,AGO,331506.5192,429681.7471,13189107,13731368,2.51%,3.13%
Angola,2015,AGO,342881.6753,445034.8416,13653563,14205740,2.51%,3.13%
Angola,2016,AGO,354810.8762,459803.6918,14125411,14688064,2.51%,3.13%
Antigua and Barbuda,1990,ATG,610.8322998,1112.489779,32251,34447,1.89%,3.23%
Antigua and Barbuda,1991,ATG,618.4675883,1123.431662,32598,34705,1.90%,3.24%
Antigua and Barbuda,1992,ATG,629.0379287,1138.352451,33233,35194,1.89%,3.23%
Antigua and Barbuda,1993,ATG,644.778224,1161.657718,34051,35894,1.89%,3.24%
Antigua and Barbuda,1994,ATG,660.8138648,1190.73679,34929,36782,1.89%,3.24%
Antigua and Barbuda,1995,ATG,679.2091593,1227.791357,35778,37834,1.90%,3.25%
Antigua and Barbuda,1996,ATG,695.7227684,1272.106908,36559,39068,1.90%,3.26%
Antigua and Barbuda,1997,ATG,711.2091955,1321.06294,37290,40450,1.91%,3.27%
Antigua and Barbuda,1998,ATG,723.7055925,1367.587286,37992,41858,1.90%,3.27%
Antigua and Barbuda,1999,ATG,737.5639591,1410.059243,38689,43149,1.91%,3.27%
Antigua and Barbuda,2000,ATG,750.7552602,1451.40715,39390,44196,1.91%,3.28%
Antigua and Barbuda,2001,ATG,765.8071253,1474.905986,40103,44955,1.91%,3.28%
Antigua and Barbuda,2002,ATG,784.5925386,1491.902593,40810,45452,1.92%,3.28%
Antigua and Barbuda,2003,ATG,799.2837982,1504.478682,41503,45787,1.93%,3.29%
Antigua and Barbuda,2004,ATG,814.7976872,1511.843706,42157,46093,1.93%,3.28%
Antigua and Barbuda,2005,ATG,829.6387986,1530.415937,42783,46473,1.94%,3.29%
Antigua and Barbuda,2006,ATG,841.8714013,1551.059142,43345,46960,1.94%,3.30%
Antigua and Barbuda,2007,ATG,852.576063,1573.842803,43878,47507,1.94%,3.31%
Antigua and Barbuda,2008,ATG,865.4579147,1600.075407,44378,48101,1.95%,3.33%
Antigua and Barbuda,2009,ATG,876.6981757,1630.033717,44868,48703,1.95%,3.35%
Antigua and Barbuda,2010,ATG,890.6819273,1654.741781,45367,49287,1.96%,3.36%
Antigua and Barbuda,2011,ATG,907.1128726,1685.734444,45871,49842,1.98%,3.38%
Antigua and Barbuda,2012,ATG,924.1534475,1717.630584,46386,50382,1.99%,3.41%
Antigua and Barbuda,2013,ATG,945.19298,1753.904225,46912,50914,2.01%,3.44%
Antigua and Barbuda,2014,ATG,965.6333462,1785.703946,47424,51449,2.04%,3.47%
Antigua and Barbuda,2015,ATG,984.2288979,1820.898251,47940,51986,2.05%,3.50%
Antigua and Barbuda,2016,ATG,1001.227324,1853.323244,48455,52510,2.07%,3.53%
Argentina,1990,ARG,384283.9887,712712.334,16047205,16682536,2.39%,4.27%
Argentina,1991,ARG,391796.9514,723434.2619,16270356,16923554,2.41%,4.27%
Argentina,1992,ARG,399724.791,736806.9554,16493561,17161593,2.42%,4.29%
Argentina,1993,ARG,408083.8423,749970.5412,16714908,17396009,2.44%,4.31%
Argentina,1994,ARG,417775.3553,763354.9046,16931906,17626210,2.47%,4.33%
Argentina,1995,ARG,426219.8225,777128.332,17142955,17851863,2.49%,4.35%
Argentina,1996,ARG,434215.1648,788188.4817,17347098,18072579,2.50%,4.36%
Argentina,1997,ARG,444049.6702,799024.7154,17545249,18288731,2.53%,4.37%
Argentina,1998,ARG,451283.0699,810222.0833,17739822,18501768,2.54%,4.38%
Argentina,1999,ARG,460819.3391,821923.0796,17934337,18713728,2.57%,4.39%
Argentina,2000,ARG,469234.1336,834330.4862,18131323,18926128,2.59%,4.41%
Argentina,2001,ARG,475789.2036,843804.9424,18331824,19139680,2.60%,4.41%
Argentina,2002,ARG,482575.8496,855119.1884,18535213,19354165,2.60%,4.42%
Argentina,2003,ARG,489180.1422,864505.2092,18740331,19569048,2.61%,4.42%
Argentina,2004,ARG,496539.3115,874469.8342,18945311,19783377,2.62%,4.42%
Argentina,2005,ARG,502968.8058,885951.4938,19148910,19996583,2.63%,4.43%
Argentina,2006,ARG,508635.9643,894885.604,19350587,20208296,2.63%,4.43%
Argentina,2007,ARG,513884.4215,904757.7487,19551137,20419083,2.63%,4.43%
Argentina,2008,ARG,520423.0762,913213.2677,19752163,20630236,2.63%,4.43%
Argentina,2009,ARG,526081.379,924292.6227,19955889,20843520,2.64%,4.43%
Argentina,2010,ARG,533119.5198,934043.4016,20163796,21060099,2.64%,4.44%
Argentina,2011,ARG,539669.5269,944823.781,20376428,21280455,2.65%,4.44%
Argentina,2012,ARG,545840.5148,956860.6025,20592908,21503822,2.65%,4.45%
Argentina,2013,ARG,550804.2592,968503.6505,20811440,21728479,2.65%,4.46%
Argentina,2014,ARG,557990.2109,980541.5118,21029517,21951993,2.65%,4.47%
Argentina,2015,ARG,563810.5575,991239.8631,21245214,22172550,2.65%,4.47%
Argentina,2016,ARG,571279.0157,1003141.401,21457908,22389522,2.66%,4.48%
Armenia,1990,ARM,32240.7089,56962.45991,1714811,1823346,1.88%,3.12%
Armenia,1991,ARM,32032.94818,56742.78423,1692669,1812573,1.89%,3.13%
Armenia,1992,ARM,31414.09826,56237.43875,1654930,1787882,1.90%,3.15%
Armenia,1993,ARM,30672.51264,55410.39167,1608296,1754807,1.91%,3.16%
Armenia,1994,ARM,30007.74302,54687.82168,1562321,1721339,1.92%,3.18%
Armenia,1995,ARM,29491.81679,54325.58484,1524014,1693330,1.94%,3.21%
Armenia,1996,ARM,29356.04616,54325.20289,1495569,1672637,1.96%,3.25%
Armenia,1997,ARM,29279.813,54726.7433,1475288,1657789,1.98%,3.30%
Armenia,1998,ARM,29600.73427,55167.06152,1461447,1647237,2.03%,3.35%
Armenia,1999,ARM,29913.09252,55659.02764,1450801,1638213,2.06%,3.40%
Armenia,2000,ARM,30295.01743,56043.96625,1440919,1628672,2.10%,3.44%
Armenia,2001,ARM,30763.56665,56159.11813,1431977,1618679,2.15%,3.47%
Armenia,2002,ARM,31240.99655,56313.81487,1424809,1609087,2.19%,3.50%
Armenia,2003,ARM,31962.68947,56125.70583,1418257,1599557,2.25%,3.51%
Armenia,2004,ARM,32505.60817,56070.82296,1410902,1589706,2.30%,3.53%
Armenia,2005,ARM,33289.05064,55699.19865,1401868,1579384,2.37%,3.53%
Armenia,2006,ARM,33863.09157,54878.48089,1390331,1568169,2.44%,3.50%
Armenia,2007,ARM,34559.65503,53984.968,1376747,1556306,2.51%,3.47%
Armenia,2008,ARM,35164.45104,53127.23048,1363146,1545070,2.58%,3.44%
Armenia,2009,ARM,35548.18641,52850.00399,1352360,1536226,2.63%,3.44%
Armenia,2010,ARM,35879.20877,53060.63451,1346350,1530958,2.66%,3.47%
Armenia,2011,ARM,35933.90358,54258.1124,1345836,1529750,2.67%,3.55%
Armenia,2012,ARM,35674.18708,56304.51386,1349907,1532010,2.64%,3.68%
Armenia,2013,ARM,35322.30264,58670.48692,1356934,1536580,2.60%,3.82%
Armenia,2014,ARM,35081.37518,60968.23506,1364485,1541733,2.57%,3.95%
Armenia,2015,ARM,34896.24324,62753.13937,1370760,1546195,2.55%,4.06%
Armenia,2016,ARM,34775.36738,63810.00492,1375250,1549567,2.53%,4.12%
Australasia,1990,NA,382022.3664,556718.9048,NA,NA,NA,NA
Australasia,1991,NA,389049.5358,570261.6967,NA,NA,NA,NA
Australasia,1992,NA,394129.0287,581121.6556,NA,NA,NA,NA
Australasia,1993,NA,400192.135,592252.5618,NA,NA,NA,NA
Australasia,1994,NA,404797.622,603780.2507,NA,NA,NA,NA
Australasia,1995,NA,410980.8497,614769.3101,NA,NA,NA,NA
Australasia,1996,NA,414518.1844,623088.395,NA,NA,NA,NA
Australasia,1997,NA,417329.9351,632398.0806,NA,NA,NA,NA
Australasia,1998,NA,419558.8827,639973.8219,NA,NA,NA,NA
Australasia,1999,NA,422691.8406,647522.6388,NA,NA,NA,NA
Australasia,2000,NA,425240.0926,656749.4475,NA,NA,NA,NA
Australasia,2001,NA,432999.8069,667961.016,NA,NA,NA,NA
Australasia,2002,NA,439874.8834,680610.3308,NA,NA,NA,NA
Australasia,2003,NA,447464.5912,694235.8039,NA,NA,NA,NA
Australasia,2004,NA,455542.0531,707089.2423,NA,NA,NA,NA
Australasia,2005,NA,464076.3884,720802.4411,NA,NA,NA,NA
Australasia,2006,NA,469809.1463,729239.0657,NA,NA,NA,NA
Australasia,2007,NA,477205.4153,738330.5084,NA,NA,NA,NA
Australasia,2008,NA,485003.3957,750110.6819,NA,NA,NA,NA
Australasia,2009,NA,492430.2598,760324.0748,NA,NA,NA,NA
Australasia,2010,NA,499035.4054,770597.2579,NA,NA,NA,NA
Australasia,2011,NA,505167.8404,777078.5805,NA,NA,NA,NA
Australasia,2012,NA,511817.3653,784060.8957,NA,NA,NA,NA
Australasia,2013,NA,518724.8065,791678.9687,NA,NA,NA,NA
Australasia,2014,NA,525805.6871,799799.4462,NA,NA,NA,NA
Australasia,2015,NA,533028.5755,806427.3366,NA,NA,NA,NA
Australasia,2016,NA,540825.9245,814252.8756,NA,NA,NA,NA
Australia,1990,AUS,320205.0489,467192.7828,8497671,8543759,3.77%,5.47%
Australia,1991,AUS,325287.1624,477849.9113,8608112,8663765,3.78%,5.52%
Australia,1992,AUS,329392.3831,487162.1116,8709539,8776407,3.78%,5.55%
Australia,1993,AUS,334692.9993,497067.3164,8804935,8882542,3.80%,5.60%
Australia,1994,AUS,338405.9807,507241.0813,8898832,8983905,3.80%,5.65%
Australia,1995,AUS,343516.4,516664.8476,8994674,9082071,3.82%,5.69%
Australia,1996,AUS,346488.1745,523689.8703,9094099,9177596,3.81%,5.71%
Australia,1997,AUS,348892.2675,531659.229,9196662,9270937,3.79%,5.73%
Australia,1998,AUS,351015.4803,538573.1375,9301416,9363624,3.77%,5.75%
Australia,1999,AUS,354029.1179,545118.2487,9406616,9457492,3.76%,5.76%
Australia,2000,AUS,356688.8996,553568.4514,9511525,9554318,3.75%,5.79%
Australia,2001,AUS,364088.1762,563687.5757,9614651,9653880,3.79%,5.84%
Australia,2002,AUS,370030.3873,574687.5775,9717938,9757255,3.81%,5.89%
Australia,2003,AUS,376429.2985,585863.3018,9828002,9868965,3.83%,5.94%
Australia,2004,AUS,383333.1792,596730.6701,9953718,9994714,3.85%,5.97%
Australia,2005,AUS,391172.1098,608786.2237,10100763,10138138,3.87%,6.00%
Australia,2006,AUS,396156.2269,615814.2227,10272328,10301282,3.86%,5.98%
Australia,2007,AUS,402934.9566,623813.2178,10464805,10481855,3.85%,5.95%
Australia,2008,AUS,410392.4666,634473.0996,10668761,10673734,3.85%,5.94%
Australia,2009,AUS,417291.2985,643723.2267,10870863,10868186,3.84%,5.92%
Australia,2010,AUS,423185.4438,652901.3958,11061412,11058649,3.83%,5.90%
Australia,2011,AUS,428631.4676,658722.6885,11236849,11242950,3.81%,5.86%
Australia,2012,AUS,434566.6494,665129.2009,11399752,11422100,3.81%,5.82%
Australia,2013,AUS,440569.0042,671822.4348,11554097,11596636,3.81%,5.79%
Australia,2014,AUS,446484.2348,679222.982,11706475,11768195,3.81%,5.77%
Australia,2015,AUS,452920.3862,684833.9895,11861620,11937926,3.82%,5.74%
Australia,2016,AUS,459588.5908,691465.9543,12020350,12105494,3.82%,5.71%
Austria,1990,AUT,94181.41414,210122.2634,3694671,4029283,2.55%,5.21%
Austria,1991,AUT,95731.06403,211907.6566,3724403,4048295,2.57%,5.23%
Austria,1992,AUT,97463.57883,213800.3648,3759344,4071594,2.59%,5.25%
Austria,1993,AUT,98834.62111,215536.7996,3795959,4096130,2.60%,5.26%
Austria,1994,AUT,99795.1076,216419.0839,3829465,4117750,2.61%,5.26%
Austria,1995,AUT,100708.3815,216689.2122,3856496,4133617,2.61%,5.24%
Austria,1996,AUT,100194.3943,215382.8674,3875560,4142292,2.59%,5.20%
Austria,1997,AUT,99738.13584,214265.7358,3887873,4145000,2.57%,5.17%
Austria,1998,AUT,99542.51791,213667.9402,3896203,4144851,2.55%,5.16%
Austria,1999,AUT,99136.19875,212535.9337,3904713,4146403,2.54%,5.13%
Austria,2000,AUT,99134.50389,211811.5251,3916404,4152872,2.53%,5.10%
